BAS_ID,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균영업기간,평균폐업기간,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 비율,근린생활시설 비율,단독주택 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,(주거인구+직장인구) / 유동인구,주거인구/직장인구,10_30 / 40_60,점포밀도
21300,0.74333,617.1300761,7987.604945,0.060036731,0.907932185,7.332335863,119.2534627,0.0,163.10648228067743,199.05679103666668,1.1727160427825307,0.1298071543382783,267.1132075,52.9,42.0,5.1,0,-2068241.586,181461.1466,-17897949.2,0.076382203,0.036520837,0.887096959,0.806504609875222,1.6094379124341005,2.3909798705466114,86.09904080287355,2.342449225,2.695669458,31337.73585,0.268397665,0.149563378,0.406895625,7.046875
21301,0.121045,221.3970462,2876.534944,0.069661055,0.938454306,30.94811891,211.3408333,305.909,156.24961498125,52.89636337333334,1.6966828337561612,0.0918409533338731,308.7,79.4,20.2,0.4,266,53973.24138,336790.7904,-1135449.044,0.116603202,0.070772853,0.812623944,1.3862943611198906,1.1275347898191252,1.9850800347841984,346.9783964641249,2.315147333,2.280276769,344640.0,0.254880813,0.667946364,0.439756949,11.523809523809524
21302,0.175777,341.2528777,4162.583064,0.087372368,1.08461935,25.54690536,214.1441875,0.0,111.95073015532911,93.78700452266666,1.6978108945722712,0.0404178904641389,209.0344828,32.7,2.2,0.2,0,2928178.509,-2774247.799,32740564.5,0.165726138,0.085405395,0.748868468,2.063956247552524,2.0291545628109144,1.3147991572059192,876.1100712835013,2.064956712,2.339853193,174949.4624,0.220316631,0.899424865,0.508371047,143.58441558441558
21303,0.270679,475.0380102,6080.093135,0.08471194,1.079401398,15.51712099,105.01132,912.5,153.72800261,161.2932719863158,1.802432025375056,0.1834611537465319,473.0,31.3,55.9,12.8,80,-324029.6552,-51083.79793,299038.6207,0.466233799,0.175485123,0.358281079,1.3862943611198906,2.3640449155663164,2.0640170503920974,232.74801517664835,2.273528237,2.246296708,97041.79104,0.108296273,6.308614127,0.441901741,36.11111111111112
21304,0.073319,273.241567,3575.514233,0.092931019,1.107097966,32.7139266,134.3617647,369.231,177.3294508969921,100.92290281897222,1.6043008376997077,0.084995118608345,385.1688889,14.7,37.5,41.2,130,-453554.3034,1030462.396,-98316.81379,0.628149772,0.171518807,0.200331421,2.0962027709337034,2.2899201319853306,2.37911185279709,2495.9423887396174,2.016228095,2.004098756,166589.3365,0.212988988,1.95939045,0.479892855,113.8360655737705
21305,0.098059,523.7108482,6145.133162,0.095791748,1.10061403,38.0699162,106.0771277,0.0,177.9364428262561,156.26319276812245,1.6191317309506588,0.09433678785627,425.75,0.0,79.0,21.0,209,-144303.251,370604.1379,-7110223.954,0.302816792,0.215008312,0.482174896,1.7735578964839496,1.982772029440003,2.589744944502398,2335.3287306621523,2.048315822,1.997068855,69414.5288,0.2246665,2.090174055,0.412278526,101.35807860262008
21306,0.284578,649.3819627,7939.781286,0.087014968,1.078934844,12.80279237,117.9553818,1753.75,150.92760692058823,147.10475668,1.7993133546912712,0.2634359560185369,380.1428571,0.0,25.8,74.2,70,-602021.5172,39236.14138,-433631.1172,0.342739812,0.15000167,0.507258518,1.5808185358593017,2.226997804998561,1.765190524135016,207.32452965443568,1.953813226,2.429455806,76053.06346,1.304734286,24.64039801,0.36857908,52.23728813559322
21307,0.616604,589.2732841,7121.372418,0.089114744,1.069964206,6.382154131,119.3240189,458.70125,124.11845098361906,145.57489320081035,1.7813332376127609,0.3319476707322225,369.6898148,41.3,26.9,31.9,351,-686269.7931,-307753.3448,13383206.19,0.268692281,0.130431065,0.600876654,1.8546230807743016,2.4186387996455783,2.2716811804031583,252.99868310941864,1.944366258,2.252227257,56452.17391,0.911136003,8.710714485,0.400088212,49.26282051282051
21308,0.2299,421.903482,5071.581658,0.093441008,1.153545086,9.134493482,156.4074545,0.0,196.32435984664286,220.02915869999998,1.8148861526051887,0.14791290883642,446.4454545,33.3,18.9,47.8,200,-125522.8621,14728.62069,-590056.569,0.187183888,0.048566819,0.764249293,0.9556998911125344,1.9730014063936128,2.0982737395252498,121.79208351457156,2.262531808,1.770196473,67064.35185,0.970011263,9.507922137,0.511661008,21.785714285714285
21309,0.102131,342.1287409,4248.872704,0.098517971,1.144898918,33.74892118,149.3655238,1716.714,136.4427817205946,113.36451387703846,1.590004007814955,0.0699603901773708,418.0157068,20.9,41.1,30.0,530,-2245573.31,-173450.8586,-17258575.21,0.158538123,0.154229265,0.687232612,2.0229756853401164,2.4168532381706287,2.6306062260558685,1968.0606280169584,2.146131428,1.985019412,77593.49776,0.242857787,4.188744074,0.474761187,111.66666666666669
