BAS_ID,open_15cluster,close_15cluster,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도
21300,13,14.0,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21301,2,9.0,상대적 상권 확장,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21302,2,9.0,상대적 상권 확장,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21303,2,9.0,상대적 상권 확장,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21304,2,9.0,상대적 상권 확장,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21305,2,9.0,상대적 상권 확장,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21306,13,9.0,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
21307,13,14.0,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 축소,상대적 상권 축소,상대적 상권 축소
21308,13,14.0,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 축소,상대적 상권 축소,상대적 상권 축소
21309,13,9.0,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 순환 저조,상대적 상권 축소,상대적 상권 순환 저조,상대적 상권 확장,상대적 상권 순환 활발,상대적 상권 축소,상대적 상권 축소
