,VIF Factor,features
0,1.2103142646214728,외식업매출월평균변화량
1,1.3973227568400726,아파트시세변화_차분평균
2,1.410266988833082,소매업매출월평균변화량
3,1.4590743441441087,서비스업매출월평균변화량
4,1.6119921529080157,주거인구/직장인구
5,2.382756974058984,아파트 가구수
6,3.487836221937748,단독주택 비율
7,3.688207314274891,서비스업매출비율
8,3.9916169510681208,외식업매출비율
9,4.243061888015142,평균최근접역거리
10,4.433470040841068,근린생활시설 비율
11,4.537267248397612,BAS_AR
12,4.628241956553888,개별공시지가 변화 차분평균
13,5.560126923535365,(주거인구+직장인구) / 유동인구
14,5.606227657051598,공동주택 비율
15,6.524407164403669,평균 도로 길이
16,7.69142824210069,도로길이고려_국부통합도_R3
17,8.180469193765106,점포밀도
18,8.568985044063233,상가밀도
19,9.52687270811169,평균최근접정류장거리
