BAS_ID,close_7cluster,close_8cluster,close_9cluster,close_10cluster,close_11cluster,close_12cluster,close_13cluster,close_14cluster,close_15cluster,close_16cluster,close_17cluster,close_18cluster,close_19cluster,close_20cluster,close_21cluster,close_22cluster,close_23cluster,close_24cluster,close_25cluster,close_26cluster,close_27cluster,close_28cluster,close_29cluster,close_30cluster
21300,4,4,4,4,1,0,5,5,5,5,2,0,18,18,18,18,18,18,18,18,18,18,18,18
21301,4,4,4,4,1,0,5,5,5,5,2,0,18,18,18,18,18,18,18,18,18,18,18,18
21302,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21303,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21304,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21305,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21306,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21307,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21308,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21309,4,4,4,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21310,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21311,4,4,4,4,1,0,5,5,5,5,2,0,10,10,10,10,4,4,4,4,4,1,0,23
21312,4,4,4,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21313,4,4,4,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21314,4,4,4,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21315,4,4,4,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
21316,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,5,5,5,5,5,5,2
21317,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,5,5,5,5,5,5,2
21318,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21319,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21320,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21321,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21323,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21324,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21325,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21326,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21328,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,23,23,23,23,23,23,11
21329,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,5,5,5,5,5,5,2
21330,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,5,5,5,5,5,5,2
21331,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,5,5,5,5,5,5,2
21332,0,7,7,7,7,7,7,7,7,3,3,3,3,3,1,1,0,5,5,5,5,5,5,2
