BAS_ID,open_15cluster,close_15cluster,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도
21300,13,14.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21301,2,9.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21302,2,9.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21303,2,9.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21304,2,9.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21305,2,9.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21306,13,9.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21307,13,14.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,H_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21308,13,14.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,H_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21309,13,9.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21310,2,9.0,L_mH_m,L_mL_m,L_mL_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pL_p
21311,2,9.0,L_mH_m,L_mL_m,L_mL_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21312,2,9.0,L_mH_m,L_mL_m,L_mL_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21313,13,9.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21314,2,9.0,L_mH_m,L_mL_m,L_mL_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pL_p
21315,2,3.0,L_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pL_p
21316,8,5.0,L_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21317,8,0.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21318,3,0.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pH_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21319,3,8.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21320,3,8.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21321,3,8.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21322,9,-1.0,,,,,,,,,,,,,,,
21323,8,0.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21324,3,0.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21325,3,8.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
