연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자
1,동아1단지,인천광역시 부평구 부평1동 70-5,인천광역시 부평구 부평문화로 37,15,16,2475,1989-06-03,2021-09-28
2,동아2단지,인천광역시 부평구 부평1동 70-125,인천광역시 부평구 부흥로 248,20,21,2130,1995-05-09,2021-09-28
3,대림,인천광역시 부평구 부평1동 64-20,인천광역시 부평구 부영로 196,15,10,1470,1989-12-07,2021-09-28
4,욱일,인천광역시 부평구 부평1동 65-7,인천광역시 부평구 부흥로243번길 39,15,4,780,1990-10-19,2021-09-28
5,가나안미도(4차),인천광역시 부평구 부평1동 799-5,인천광역시 부평구 부평대로165번길 40,5,2,140,1986-02-28,2021-09-28
6,부평일동대우,인천광역시 부평구 부평1동 65-115,인천광역시 부평구 부흥로243번길 7,22,4,308,1998-08-28,2021-09-28
7,한국,인천광역시 부평구 부평1동 65-124,인천광역시 부평구 부영로166번길 12,19,2,180,1998-12-30,2021-09-28
8,건우,인천광역시 부평구 부평1동 799-3,인천광역시 부평구 부평대로165번길 62,5,4,150,1985-07-08,2021-09-28
9,창보,인천광역시 부평구 부평1동 70-78외3,인천광역시 부평구 부영로166번길 16,20,1,202,1999-10-30,2021-09-28
10,두산위브,인천광역시 부평구 부평1동 534-96,인천광역시 부평구 경원대로 1346,15,4,280,2005-02-25,2021-09-28
11,안암,인천광역시 부평구 부평2동 758-31,인천광역시 부평구 안남로15번길 24-10,5,3,110,1979-12-26,2021-09-28
12,신성미소지움,인천광역시 부평구 부평2동 756-421,인천광역시 부평구 경인로 858,16,6,298,2005-06-16,2021-09-28
13,신태양(6차),인천광역시 부평구 십정동 577-3,인천광역시 부평구 경인로759번길 5,5,2,100,1988-01-08,2021-09-28
14,백조,인천광역시 부평구 부평4동 438-1,인천광역시 부평구 부평대로98번길 35,11,1,50,1997-06-12,2021-09-28
15,건영캐스빌(주상),인천광역시 부평구 부평4동 252-29,인천광역시 부평구 부흥로304번길 17,15,1,142,2002-06-15,2021-09-28
16,신영,인천광역시 부평구 부평5동140-6,인천광역시 부평구 길주남로90번길 45,5,2,95,1983-08-12,2021-09-28
