시도명,시군구명,법정읍면동명,법정리명,본번,부번,기초구역번호,2017,2018,2019
인천광역시,부평구,부평동,,276,74,21405,"4,211,000 원","4,060,000 원","4,060,000 원"
인천광역시,부평구,부평동,,274,85,21405,"4,211,000 원","4,211,000 원","4,211,000 원"
인천광역시,부평구,부평동,,274,94,21405,"4,083,000 원","4,083,000 원","4,083,000 원"
인천광역시,부평구,부평동,,274,93,21405,"4,150,000 원","4,264,000 원","4,392,000 원"
인천광역시,부평구,부평동,,274,56,21405,"4,150,000 원","4,264,000 원","4,392,000 원"
인천광역시,부평구,부평동,,274,55,21405,"4,219,000 원","4,334,000 원","4,465,000 원"
인천광역시,부평구,부평동,,274,51,21405,"3,564,000 원","3,672,000 원","3,672,000 원"
인천광역시,부평구,부평동,,274,48,21405,"3,234,000 원","3,332,000 원","3,332,000 원"
인천광역시,부평구,부평동,,274,45,21405,"3,300,000 원","3,400,000 원","3,400,000 원"
인천광역시,부평구,부평동,,274,44,21405,"3,234,000 원","3,332,000 원","3,332,000 원"
인천광역시,부평구,부평동,,274,40,21405,"3,042,000 원","3,313,000 원","3,472,000 원"
인천광역시,부평구,부평동,,274,21,21405,"3,583,000 원","3,692,000 원","3,692,000 원"
인천광역시,부평구,부평동,,274,8,21405,"2,690,000 원","2,930,000 원","3,070,000 원"
인천광역시,부평구,부평동,,274,14,21405,"1,042,000 원","1,120,000 원","1,203,000 원"
인천광역시,부평구,부평동,,274,7,21405,"2,690,000 원","2,930,000 원","3,070,000 원"
인천광역시,부평구,부평동,,270,40,21405,"2,690,000 원","2,930,000 원","3,070,000 원"
인천광역시,부평구,부평동,,270,36,21405,"2,060,000 원","2,215,000 원","2,320,000 원"
인천광역시,부평구,부평동,,270,35,21405,"2,816,000 원","3,067,000 원","3,214,000 원"
인천광역시,부평구,부평동,,270,32,21405,"2,816,000 원","3,067,000 원","3,214,000 원"
인천광역시,부평구,부평동,,270,7,21405,"2,730,000 원","2,941,000 원","3,082,000 원"
인천광역시,부평구,부평동,,319,35,21387,"1,130,000 원","1,245,000 원","1,342,000 원"
인천광역시,부평구,부평동,,70,131,21387,"1,622,000 원","1,843,000 원","2,026,000 원"
인천광역시,부평구,부평동,,534,91,21404,"3,156,000 원","3,440,000 원","3,811,000 원"
인천광역시,부평구,부평동,,330,3,21389,"1,522,000 원","1,584,000 원","1,685,000 원"
인천광역시,부평구,부평동,,534,92,21404,"2,864,000 원","3,122,000 원","3,458,000 원"
인천광역시,부평구,부평동,,329,3,21389,"1,859,000 원","2,021,000 원","2,244,000 원"
인천광역시,부평구,부평동,,534,88,21404,"3,013,000 원","3,440,000 원","3,811,000 원"
인천광역시,부평구,부평동,,341,166,21389,"2,609,000 원","2,842,000 원","3,152,000 원"
인천광역시,부평구,부평동,,341,165,21389,"2,609,000 원","2,842,000 원","3,152,000 원"
인천광역시,부평구,부평동,,341,163,21389,"2,555,000 원","2,783,000 원","3,087,000 원"
인천광역시,부평구,부평동,,341,162,21389,"2,533,000 원","2,760,000 원","3,061,000 원"
인천광역시,부평구,부평동,,341,160,21389,"2,816,000 원","3,067,000 원","3,402,000 원"
인천광역시,부평구,부평동,,341,135,21389,"2,867,000 원","3,123,000 원","3,464,000 원"
