ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,ROAD_LT_CU,center_x,center_y
"20090710",서울에서 인천을 연결하는 도로,"20",Gyeongin-ro,"20141031",인천광역시 남구 구(區)명칭 변경(미추홀구),"71","20090710","20181228114742",인천광역시 미추홀구 숭의동,"0","819",서울특별시 영등포구 여의도동,경인로,"3000028",34.00000000,28004.00000000,"3","28200","1",138.858,174170.52200,441209.04740
"20090710",서울에서 인천을 연결하는 도로,"20",Gyeongin-ro,"20141031",인천광역시 남구 구(區)명칭 변경(미추홀구),"71","20090710","20181228114742",인천광역시 미추홀구 숭의동,"0","819",서울특별시 영등포구 여의도동,경인로,"3000028",34.00000000,28004.00000000,"3","28200","1",5.482,174286.31270,441756.98570
"20090630",인근에 위치한 인천종합문화예술회관의 명칭을 인용하여 제명,"20",Yesul-ro,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000043",선학동 110일원,"0","40",간석동 236-1일원,예술로,"3008029",25.00000000,3710.00000000,"3","28200","2",18.486,173741.07110,440967.12490
"20090630",예전 주안면과 다소면에는 돌과 우물이 많았다는？ 유래에서 제명,"20",Seokjeong-ro,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000043",숭의동 341-23일원,"0","36",간석동 573-1일원,석정로,"3151030",30.00000000,6380.00000000,"3","28200","2",16.617,173458.30700,441025.65590
"20091116",인근에 위치한 벽돌말사거리 명칭을 인용하여 제명,"20",Byeokdolmal-ro,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000057",간석동 613-7,"0","367",간석동 613-8,벽돌말로,"3153037",8.00000000,378.00000000,"3","28200","3",16.928,173498.00100,441012.98330
"20091116",경인로의 시작지점에서부터 약 6540m지점에서 왼쪽으로 분기하는 도로,"11",Gyeongin-ro 653beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000050",간석동 215-1,"0","156",간석동 218,경인로653번길,"4259038",7.00000000,403.00000000,"4","28200","3",7.398,173770.02650,441051.75910
"20091116",경인로의 시작지점에서부터 약 6680m지점에서 왼쪽으로 분기하는 도로,"11",Gyeongin-ro 667beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000050",간석동 215-1,"0","157",간석동 218,경인로667번길,"4259039",4.00000000,279.00000000,"4","28200","3",121.313,174108.08350,441141.62280
"20091116",경인로의 시작지점에서부터 약 6680m지점에서 왼쪽으로 분기하는 도로,"11",Gyeongin-ro 667beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000050",간석동 215-1,"0","157",간석동 218,경인로667번길,"4259039",4.00000000,279.00000000,"4","28200","3",105.829,173944.81030,441161.81580
"20091116",경인로의 시작지점에서부터 약 6680m지점에서 왼쪽으로 분기하는 도로,"10",Gyeongin-ro 667beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000050",간석동 215-1,"1","1226",간석동 218,경인로667번길,"4259039",4.00000000,55.00000000,"4","28200","3",55.015,173975.44790,441128.24230
"20091116",경인로의 시작지점에서부터 약 7640m지점에서 오른쪽으로 분기하는 도로,"12",Gyeongin-ro 764beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000050",간석동 776,"0","1765",간석동 777,경인로764번길,"4259043",6.00000000,155.00000000,"4","28200","3",9.989,174515.83250,442038.32960
"20091116",만월북로의 시작지점에서부터 약 1120m지점에서 오른쪽으로 분기하는 도로,"10",Manwolbuk-ro 112beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000056",간석동 1-206,"0","242",간석동 1-477,만월북로112번길,"4259334",8.00000000,1019.00000000,"4","28200","3",139.287,174982.59940,441831.25290
"20091116",백범로의 시작지점에서부터 약 4220m지점에서 오른쪽으로 분기하는 도로,"11",Baekbeom-ro 422beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000057",간석동 215-1,"0","155",간석동 218,백범로422번길,"4259401",9.00000000,219.00000000,"4","28200","3",139.360,173880.17920,441102.77210
"20091116",백범로의 시작지점에서부터 약 4680m지점에서 왼쪽으로 분기하는 도로,"10",Baekbeom-ro 467beon-gil,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20091116","20141031000057",간석동 613-4,"0","67",간석동 897,백범로467번길,"4259403",10.00000000,419.00000000,"4","28200","3",18.844,173408.57380,441046.27990
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2113",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",107.867,174089.99160,442907.99750
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2116",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",84.739,173936.59150,442810.64120
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2114",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",83.433,173888.54050,442777.88670
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000210",십정동 450-22,"1","81",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",83.412,173860.27330,442761.76970
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2410",부평동 179-20,경원대로,"2008007",5.00000000,14380.00000000,"2","28237","2",95.599,172702.54430,441695.33510
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2117",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",85.967,173978.70030,442839.77370
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2118",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",88.154,174003.55020,442856.19590
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2119",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",87.739,174027.97530,442873.91480
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000211",십정동 450-22,"1","1044",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",35.986,172990.14260,442121.78010
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"10",Gyeongwon-daero,"20141031","광역도로 정비 및 부여사유, 부여방식 정비","90","20090706","20141031000212",십정동 450-22,"1","2115",부평동 179-20,경원대로,"2008007",4.00000000,14380.00000000,"2","28237","2",84.095,173912.53440,442794.25180
"20090630",고려 숙종때 인예태후의 친정고을 소성현을 높여 경원군으로 승격시킨 것에 유래하여 제명,"20",Gyeongwon-daero,"20141031",직권수정(속성변경),"99","20090706","20190612091453",십정동 450-22,"0","2540",부평동 179-20,경원대로,"2008007",40.00000000,14380.00000000,"2","28237","2",306.488,172668.02340,441433.99370
