연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자,address,latitude,longitude
1,동아1단지,인천광역시 부평구 부평1동 70-5,인천광역시 부평구 부평문화로 37,15,16,2475,1989-06-03,2019-09-06,인천광역시 부평구 부평1동 70-5,37.4944003,126.7182541
2,동아2단지,인천광역시 부평구 부평1동 70-125,인천광역시 부평구 부흥로 248,20,21,2130,1995-05-09,2019-09-06,인천광역시 부평구 부평1동 70-125,37.4974016,126.7182138
3,대림,인천광역시 부평구 부평1동 64-20,인천광역시 부평구 부영로 196,15,10,1470,1989-12-07,2019-09-06,인천광역시 부평구 부평1동 64-20,37.5021413,126.7176586
4,욱일,인천광역시 부평구 부평1동 65-7,인천광역시 부평구 부흥로243번길 39,15,4,780,1990-10-19,2019-09-06,인천광역시 부평구 부평1동 65-7,37.5005758,126.7169644
5,가나안미도(4차),인천광역시 부평구 부평1동 799-5,인천광역시 부평구 부평대로165번길 40,5,2,140,1986-02-28,2019-09-06,인천광역시 부평구 부평1동 799-5,37.5048679,126.7186056
6,부평일동대우,인천광역시 부평구 부평1동 65-115,인천광역시 부평구 부흥로243번길 7,22,4,308,1998-08-28,2019-09-06,인천광역시 부평구 부평1동 65-115,37.4995268,126.7182638
7,한국,인천광역시 부평구 부평1동 65-124,인천광역시 부평구 부영로166번길 12,19,2,180,1998-12-30,2019-09-06,인천광역시 부평구 부평1동 65-124,37.4995815,126.7166272
8,건우,인천광역시 부평구 부평1동 799-3,인천광역시 부평구 부평대로165번길 62,5,4,150,1985-07-08,2019-09-06,인천광역시 부평구 부평1동 799-3,37.5044006,126.7180220
9,창보,인천광역시 부평구 부평1동 70-78외3,인천광역시 부평구 부영로166번길 16,20,1,202,1999-10-30,2019-09-06,인천광역시 부평구 부평1동 70-78외3,37.4995584,126.7172239
10,두산위브,인천광역시 부평구 부평1동 534-96,인천광역시 부평구 경원대로 1346,15,4,280,2005-02-25,2019-09-06,인천광역시 부평구 부평1동 534-96,37.4906882,126.7174449
