,대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
0,인천광역시 부평구 부평동 10-1001번지,대성빌라,657.11,02000,공동주택,19911227.0
1,인천광역시 부평구 부평동 10-1002번지,대성타운,657.61,02000,공동주택,19911227.0
2,인천광역시 부평구 부평동 10-1003번지,대성빌라,657.61,02000,공동주택,19920929.0
3,인천광역시 부평구 부평동 10-1004번지,,488.1,03000,제1종근린생활시설,19911122.0
4,인천광역시 부평구 부평동 10-1007번지,,386.88,03000,제1종근린생활시설,19911122.0
5,인천광역시 부평구 부평동 10-101번지,,404.61,04000,제2종근린생활시설,19940913.0
6,인천광역시 부평구 부평동 10-1021번지,로얄하이츠,335.46,02000,공동주택,19920703.0
7,인천광역시 부평구 부평동 10-1036번지,,422.44,01000,단독주택,19930916.0
8,인천광역시 부평구 부평동 10-1044번지,,61.82,03000,제1종근린생활시설,19871124.0
9,인천광역시 부평구 부평동 10-1044번지,,1.2,03000,제1종근린생활시설,19871124.0
10,인천광역시 부평구 부평동 10-1046번지,,295.74,01000,단독주택,19990604.0
11,인천광역시 부평구 부평동 10-1059번지,중앙파크맨션,609.44,02000,공동주택,19960430.0
12,인천광역시 부평구 부평동 10-1060번지,,644.58,02000,공동주택,19960501.0
13,인천광역시 부평구 부평동 10-1072번지,,165.78,01000,단독주택,19970217.0
14,인천광역시 부평구 부평동 10-1074번지,,270.98,01000,단독주택,19951220.0
15,인천광역시 부평구 부평동 10-1105번지,부평마트,87.52,04000,제2종근린생활시설,20041215.0
16,인천광역시 부평구 부평동 10-1118번지,성지그린빌,389.43,02000,공동주택,20010504.0
17,인천광역시 부평구 부평동 10-1119번지,정도빌라,654.05,02000,공동주택,20010528.0
18,인천광역시 부평구 부평동 10-1140번지,혜인아이빌,616.92,02000,공동주택,20030624.0
19,인천광역시 부평구 부평동 10-114번지,,258.0,01000,단독주택,19890725.0
20,인천광역시 부평구 부평동 10-114번지,,1.0,01000,단독주택,19890725.0
21,인천광역시 부평구 부평동 10-1209번지,해바라기마을센터,490.99,03000,제1종근린생활시설,20190529.0
22,인천광역시 부평구 부평동 10-1210번지,,214.2,01000,단독주택,20181029.0
23,인천광역시 부평구 부평동 10-127번지,,98.84,03000,제1종근린생활시설,
