대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 10-1001번지,대성빌라,657.11,02000,공동주택,1991-12-27,330
인천광역시 부평구 부평동 10-1002번지,대성타운,657.61,02000,공동주택,1991-12-27,330
인천광역시 부평구 부평동 10-1003번지,대성빌라,657.61,02000,공동주택,1992-09-29,321
인천광역시 부평구 부평동 10-1004번지,,488.1,03000,제1종근린생활시설,1991-11-22,331
인천광역시 부평구 부평동 10-1007번지,,386.88,03000,제1종근린생활시설,1991-11-22,331
인천광역시 부평구 부평동 10-101번지,,404.61,04000,제2종근린생활시설,1994-09-13,298
인천광역시 부평구 부평동 10-1021번지,로얄하이츠,335.46,02000,공동주택,1992-07-03,323
인천광역시 부평구 부평동 10-1036번지,,422.44,01000,단독주택,1993-09-16,309
인천광역시 부평구 부평동 10-1044번지,,61.82,03000,제1종근린생활시설,1987-11-24,378
인천광역시 부평구 부평동 10-1046번지,,295.74,01000,단독주택,1999-06-04,242
인천광역시 부평구 부평동 10-1059번지,중앙파크맨션,609.44,02000,공동주택,1996-04-30,278
인천광역시 부평구 부평동 10-1060번지,,644.58,02000,공동주택,1996-05-01,278
인천광역시 부평구 부평동 10-1072번지,,165.78,01000,단독주택,1997-02-17,269
인천광역시 부평구 부평동 10-1074번지,,270.98,01000,단독주택,1995-12-20,283
인천광역시 부평구 부평동 10-1105번지,부평마트,87.52,04000,제2종근린생활시설,2004-12-15,177
인천광역시 부평구 부평동 10-1118번지,성지그린빌,389.43,02000,공동주택,2001-05-04,219
인천광역시 부평구 부평동 10-1119번지,정도빌라,654.05,02000,공동주택,2001-05-28,219
인천광역시 부평구 부평동 10-1140번지,혜인아이빌,616.92,02000,공동주택,2003-06-24,194
인천광역시 부평구 부평동 10-114번지,,258.0,01000,단독주택,1989-07-25,358
인천광역시 부평구 부평동 10-1209번지,해바라기마을센터,490.99,03000,제1종근린생활시설,2019-05-29,7
인천광역시 부평구 부평동 10-1210번지,,214.2,01000,단독주택,2018-10-29,13
인천광역시 부평구 부평동 10-129번지,,163.27,01000,단독주택,1995-07-29,287
인천광역시 부평구 부평동 10-130번지,,170.54,01000,단독주택,1984-02-01,423
인천광역시 부평구 부평동 10-131번지,,206.82,01000,단독주택,1988-12-12,365
인천광역시 부평구 부평동 10-138번지,환희빌리지,472.22,02000,공동주택,2003-08-19,192
인천광역시 부평구 부평동 10-152번지,,1573.3,04000,제2종근린생활시설,1993-04-23,314
인천광역시 부평구 부평동 10-161번지,,216.135,01000,단독주택,1997-02-17,269
인천광역시 부평구 부평동 10-164번지,,1267.75,04000,제2종근린생활시설,1996-06-19,277
인천광역시 부평구 부평동 10-165번지,환희빌리지,659.9,02000,공동주택,2003-08-19,192
인천광역시 부평구 부평동 10-166번지,혜인아이빌,659.81,02000,공동주택,2003-07-01,194
인천광역시 부평구 부평동 10-184번지,,273.32,04000,제2종근린생활시설,1989-09-12,357
인천광역시 부평구 부평동 10-185번지,태원빌딩,732.01,04000,제2종근린생활시설,2002-11-11,201
인천광역시 부평구 부평동 10-187번지,백인빌딩,884.3,04000,제2종근린생활시설,2010-07-09,111
인천광역시 부평구 부평동 10-195번지,,174.45,01000,단독주택,1987-09-07,380
인천광역시 부평구 부평동 10-217번지,,396.72,01000,단독주택,1994-04-08,303
인천광역시 부평구 부평동 10-21번지,로얄하이츠빌라,333.49,02000,공동주택,1992-07-03,323
인천광역시 부평구 부평동 10-222번지,,494.0,01000,단독주택,1992-09-01,322
