,대지위치,주용도코드명,연면적
0,인천광역시 부평구 갈산동 10-3번지,제2종근린생활시설,410.44
1,인천광역시 부평구 갈산동 100-25번지,단독주택,70.71
2,인천광역시 부평구 갈산동 100-6번지,단독주택,66.28
3,인천광역시 부평구 갈산동 101-6번지,단독주택,146.32
4,인천광역시 부평구 갈산동 101-6번지,제1종근린생활시설,131.83
5,인천광역시 부평구 갈산동 104번지,단독주택,50.81
6,인천광역시 부평구 갈산동 108-11번지,제2종근린생활시설,1026.0
7,인천광역시 부평구 갈산동 108-4번지,제1종근린생활시설,294.32
8,인천광역시 부평구 갈산동 108-6번지,제1종근린생활시설,773.19
9,인천광역시 부평구 갈산동 108-9번지,제1종근린생활시설,995.92
10,인천광역시 부평구 갈산동 111-11번지,제1종근린생활시설,376.04
11,인천광역시 부평구 갈산동 111-12번지,공동주택,658.66
12,인천광역시 부평구 갈산동 111-21번지,제1종근린생활시설,559.68
13,인천광역시 부평구 갈산동 111-26번지,공동주택,228.97
14,인천광역시 부평구 갈산동 111-27번지,단독주택,185.49
15,인천광역시 부평구 갈산동 111-28번지,제2종근린생활시설,161.57
16,인천광역시 부평구 갈산동 111-29번지,단독주택,131.37
17,인천광역시 부평구 갈산동 111-33번지,단독주택,74.36
18,인천광역시 부평구 갈산동 111-45번지,제2종근린생활시설,104.83999999999999
19,인천광역시 부평구 갈산동 111-6번지,단독주택,136.4
20,인천광역시 부평구 갈산동 111-8번지,단독주택,39.67
21,인천광역시 부평구 갈산동 112-120번지,제2종근린생활시설,93.51
22,인천광역시 부평구 갈산동 112-122번지,단독주택,71.21
23,인천광역시 부평구 갈산동 112-123번지,단독주택,76.07
24,인천광역시 부평구 갈산동 112-124번지,공동주택,318.35
25,인천광역시 부평구 갈산동 112-127번지,단독주택,58.08
26,인천광역시 부평구 갈산동 112-12번지,단독주택,45.82
27,인천광역시 부평구 갈산동 112-13번지,단독주택,95.5
28,인천광역시 부평구 갈산동 112-15번지,단독주택,299.15
29,인천광역시 부평구 갈산동 112-16번지,단독주택,179.2
30,인천광역시 부평구 갈산동 112-1번지,단독주택,63.14
31,인천광역시 부평구 갈산동 112-20번지,공동주택,592.8
32,인천광역시 부평구 갈산동 112-21번지,단독주택,66.22
33,인천광역시 부평구 갈산동 112-22번지,단독주택,129.6
34,인천광역시 부평구 갈산동 112-23번지,단독주택,100.4
35,인천광역시 부평구 갈산동 112-27번지,단독주택,129.6
36,인천광역시 부평구 갈산동 112-28번지,단독주택,66.22
37,인천광역시 부평구 갈산동 112-29번지,단독주택,62.91
38,인천광역시 부평구 갈산동 112-30번지,단독주택,66.22
39,인천광역시 부평구 갈산동 112-31번지,단독주택,62.91
40,인천광역시 부평구 갈산동 112-32번지,단독주택,66.22
41,인천광역시 부평구 갈산동 112-34번지,단독주택,71.53999999999999
42,인천광역시 부평구 갈산동 112-35번지,단독주택,76.23
43,인천광역시 부평구 갈산동 112-36번지,단독주택,71.21
44,인천광역시 부평구 갈산동 112-37번지,단독주택,71.21
45,인천광역시 부평구 갈산동 112-38번지,단독주택,137.56
46,인천광역시 부평구 갈산동 112-39번지,단독주택,146.87
47,인천광역시 부평구 갈산동 112-3번지,단독주택,66.05
48,인천광역시 부평구 갈산동 112-40번지,단독주택,71.21
49,인천광역시 부평구 갈산동 112-42번지,단독주택,72.0
