address,latitude,longitude,주용도코드명,연면적
인천광역시 부평구 부평동 10-1001번지,37.5034721,126.7326714,공동주택,657.11
인천광역시 부평구 부평동 10-1002번지,37.5033342,126.7326843,공동주택,657.61
인천광역시 부평구 부평동 10-1003번지,37.5031885,126.7326913,공동주택,657.61
인천광역시 부평구 부평동 10-1004번지,37.5030377,126.7326185,제1종근린생활시설,488.1
인천광역시 부평구 부평동 10-1007번지,37.5030572,126.7327738,제1종근린생활시설,386.88
인천광역시 부평구 부평동 10-101번지,37.5040053,126.7328321,제2종근린생활시설,404.61
인천광역시 부평구 부평동 10-1021번지,37.5039393,126.7261686,공동주택,335.46
인천광역시 부평구 부평동 10-1036번지,37.5037245,126.7261115,단독주택,422.44
인천광역시 부평구 부평동 10-1044번지,37.504245,126.7295482,제1종근린생활시설,63.02
인천광역시 부평구 부평동 10-1046번지,37.5034635,126.7331694,단독주택,295.74
인천광역시 부평구 부평동 10-1059번지,37.5050386,126.7316107,공동주택,609.44
인천광역시 부평구 부평동 10-1060번지,37.5048599,126.7316022,공동주택,644.58
인천광역시 부평구 부평동 10-1072번지,37.5034666,126.7329114,단독주택,165.78
인천광역시 부평구 부평동 10-1074번지,37.505269,126.7297305,단독주택,270.98
인천광역시 부평구 부평동 10-1105번지,37.5041403,126.7305843,제2종근린생활시설,87.52
인천광역시 부평구 부평동 10-1118번지,37.5041726,126.728352,공동주택,389.43
인천광역시 부평구 부평동 10-1119번지,37.5027646,126.7278935,공동주택,654.05
인천광역시 부평구 부평동 10-1140번지,37.503226,126.7334222,공동주택,616.92
인천광역시 부평구 부평동 10-114번지,37.5047262,126.7316107,단독주택,259.0
인천광역시 부평구 부평동 10-1209번지,37.5021939,126.7287829,제1종근린생활시설,490.99
인천광역시 부평구 부평동 10-1210번지,37.5059819,126.7307059,단독주택,214.2
인천광역시 부평구 부평동 10-127번지,37.5032443,126.732908,제1종근린생활시설,98.84
인천광역시 부평구 부평동 10-129번지,37.5036325,126.7326694,단독주택,163.27
인천광역시 부평구 부평동 10-130번지,37.5034825,126.7322108,단독주택,173.78
인천광역시 부평구 부평동 10-131번지,37.5035281,126.7320763,단독주택,206.82
인천광역시 부평구 부평동 10-138번지,37.5032309,126.7335914,공동주택,472.22
인천광역시 부평구 부평동 10-152번지,37.5040195,126.7306966,제2종근린생활시설,1573.3
인천광역시 부평구 부평동 10-161번지,37.5036347,126.7328965,단독주택,216.135
인천광역시 부평구 부평동 10-163번지,37.503385,126.7329363,단독주택,45.29
인천광역시 부평구 부평동 10-164번지,37.5033453,126.7338026,제2종근린생활시설,1267.75
인천광역시 부평구 부평동 10-165번지,37.5033788,126.7335871,공동주택,659.9
인천광역시 부평구 부평동 10-166번지,37.5033817,126.7334127,공동주택,659.81
인천광역시 부평구 부평동 10-184번지,37.504261,126.7328238,제2종근린생활시설,273.32
인천광역시 부평구 부평동 10-185번지,37.5039531,126.7326949,제2종근린생활시설,732.01
인천광역시 부평구 부평동 10-187번지,37.5039008,126.7331393,제2종근린생활시설,884.3
인천광역시 부평구 부평동 10-195번지,37.5044616,126.7262838,단독주택,174.45
인천광역시 부평구 부평동 10-217번지,37.5052094,126.7292274,단독주택,396.72
