대지위치,주용도코드명,연면적
인천광역시 부평구 갈산동 10-3번지,제2종근린생활시설,410.44
인천광역시 부평구 갈산동 100-25번지,단독주택,70.71
인천광역시 부평구 갈산동 100-6번지,단독주택,66.28
인천광역시 부평구 갈산동 101-6번지,단독주택,146.32
인천광역시 부평구 갈산동 101-6번지,제1종근린생활시설,131.83
인천광역시 부평구 갈산동 104번지,단독주택,50.81
인천광역시 부평구 갈산동 108-11번지,제2종근린생활시설,1026.0
인천광역시 부평구 갈산동 108-4번지,제1종근린생활시설,294.32
인천광역시 부평구 갈산동 108-6번지,제1종근린생활시설,773.19
인천광역시 부평구 갈산동 108-9번지,제1종근린생활시설,995.92
인천광역시 부평구 갈산동 111-11번지,제1종근린생활시설,1.5
인천광역시 부평구 갈산동 111-12번지,공동주택,658.66
인천광역시 부평구 갈산동 111-21번지,제1종근린생활시설,559.68
인천광역시 부평구 갈산동 111-26번지,공동주택,228.97
인천광역시 부평구 갈산동 111-27번지,단독주택,185.49
인천광역시 부평구 갈산동 111-28번지,제2종근린생활시설,131.57
인천광역시 부평구 갈산동 111-29번지,단독주택,131.37
인천광역시 부평구 갈산동 111-33번지,단독주택,74.36
인천광역시 부평구 갈산동 111-45번지,제2종근린생활시설,99.32
인천광역시 부평구 갈산동 111-6번지,단독주택,1.0
인천광역시 부평구 갈산동 111-8번지,단독주택,39.67
인천광역시 부평구 갈산동 112-120번지,제2종근린생활시설,93.51
인천광역시 부평구 갈산동 112-122번지,단독주택,71.21
인천광역시 부평구 갈산동 112-123번지,단독주택,4.86
인천광역시 부평구 갈산동 112-124번지,공동주택,318.35
인천광역시 부평구 갈산동 112-127번지,단독주택,58.08
인천광역시 부평구 갈산동 112-12번지,단독주택,45.82
인천광역시 부평구 갈산동 112-13번지,단독주택,94.51
인천광역시 부평구 갈산동 112-15번지,단독주택,299.15
인천광역시 부평구 갈산동 112-16번지,단독주택,179.2
인천광역시 부평구 갈산동 112-1번지,단독주택,63.14
인천광역시 부평구 갈산동 112-20번지,공동주택,592.8
인천광역시 부평구 갈산동 112-21번지,단독주택,62.91
인천광역시 부평구 갈산동 112-22번지,단독주택,129.6
인천광역시 부평구 갈산동 112-23번지,단독주택,6.48
인천광역시 부평구 갈산동 112-27번지,단독주택,129.6
인천광역시 부평구 갈산동 112-28번지,단독주택,3.31
인천광역시 부평구 갈산동 112-29번지,단독주택,62.91
인천광역시 부평구 갈산동 112-30번지,단독주택,3.31
인천광역시 부평구 갈산동 112-31번지,단독주택,62.91
인천광역시 부평구 갈산동 112-32번지,단독주택,3.31
인천광역시 부평구 갈산동 112-34번지,단독주택,68.96
인천광역시 부평구 갈산동 112-35번지,단독주택,76.23
인천광역시 부평구 갈산동 112-36번지,단독주택,71.21
인천광역시 부평구 갈산동 112-37번지,단독주택,71.21
인천광역시 부평구 갈산동 112-38번지,단독주택,71.21
인천광역시 부평구 갈산동 112-39번지,단독주택,75.5
인천광역시 부평구 갈산동 112-3번지,단독주택,66.05
인천광역시 부평구 갈산동 112-40번지,단독주택,71.21
인천광역시 부평구 갈산동 112-42번지,단독주택,72.0
인천광역시 부평구 갈산동 112-43번지,단독주택,68.96
인천광역시 부평구 갈산동 112-44번지,단독주택,74.28
인천광역시 부평구 갈산동 112-45번지,단독주택,78.52
인천광역시 부평구 갈산동 112-46번지,단독주택,85.16
인천광역시 부평구 갈산동 112-47번지,단독주택,71.21
인천광역시 부평구 갈산동 112-50번지,단독주택,74.25
인천광역시 부평구 갈산동 112-52번지,단독주택,71.54
인천광역시 부평구 갈산동 112-53번지,단독주택,144.26
인천광역시 부평구 갈산동 112-57번지,단독주택,1.19
인천광역시 부평구 갈산동 112-58번지,단독주택,95.8
인천광역시 부평구 갈산동 112-59번지,단독주택,171.21
인천광역시 부평구 갈산동 112-61번지,단독주택,75.44
인천광역시 부평구 갈산동 112-62번지,단독주택,75.44
인천광역시 부평구 갈산동 112-63번지,단독주택,85.59
인천광역시 부평구 갈산동 112-64번지,단독주택,8.0
인천광역시 부평구 갈산동 112-65번지,단독주택,67.44
인천광역시 부평구 갈산동 112-66번지,단독주택,123.31
인천광역시 부평구 갈산동 112-67번지,단독주택,75.6
인천광역시 부평구 갈산동 112-68번지,공동주택,148.96
인천광역시 부평구 갈산동 112-6번지,공동주택,621.37
인천광역시 부평구 갈산동 112-70번지,공동주택,133.65
인천광역시 부평구 갈산동 112-71번지,공동주택,133.65
인천광역시 부평구 갈산동 112-72번지,공동주택,148.96
인천광역시 부평구 갈산동 112-75번지,단독주택,3.31
인천광역시 부평구 갈산동 112-76번지,단독주택,3.31
인천광역시 부평구 갈산동 112-77번지,단독주택,3.31
인천광역시 부평구 갈산동 112-78번지,단독주택,150.34
인천광역시 부평구 갈산동 112-79번지,단독주택,59.6
인천광역시 부평구 갈산동 112-7번지,단독주택,77.72
인천광역시 부평구 갈산동 112-80번지,단독주택,62.91
인천광역시 부평구 갈산동 112-81번지,단독주택,3.31
인천광역시 부평구 갈산동 112-82번지,단독주택,3.31
인천광역시 부평구 갈산동 112-83번지,단독주택,62.91
인천광역시 부평구 갈산동 112-84번지,단독주택,62.91
인천광역시 부평구 갈산동 112-86번지,단독주택,3.31
인천광역시 부평구 갈산동 112-87번지,단독주택,3.31
인천광역시 부평구 갈산동 112-88번지,단독주택,129.6
인천광역시 부평구 갈산동 112-89번지,단독주택,157.6
인천광역시 부평구 갈산동 112-90번지,단독주택,43.17
인천광역시 부평구 갈산동 112-91번지,제1종근린생활시설,99.44
인천광역시 부평구 갈산동 112-92번지,단독주택,72.89
인천광역시 부평구 갈산동 112-93번지,단독주택,129.6
인천광역시 부평구 갈산동 112-94번지,단독주택,98.09
인천광역시 부평구 갈산동 112-95번지,단독주택,129.6
인천광역시 부평구 갈산동 112-97번지,공동주택,639.9
인천광역시 부평구 갈산동 112-98번지,공동주택,521.6
인천광역시 부평구 갈산동 113-10번지,공동주택,446.31
인천광역시 부평구 갈산동 113-11번지,단독주택,362.17
인천광역시 부평구 갈산동 113-12번지,제2종근린생활시설,273.49
인천광역시 부평구 갈산동 113-14번지,제1종근린생활시설,378.615
인천광역시 부평구 갈산동 113-15번지,제2종근린생활시설,214.155
인천광역시 부평구 갈산동 113-1번지,공동주택,459.06
인천광역시 부평구 갈산동 113-3번지,공동주택,586.19
인천광역시 부평구 갈산동 113-4번지,단독주택,100.74
인천광역시 부평구 갈산동 113-5번지,단독주택,223.68
인천광역시 부평구 갈산동 113-9번지,제2종근린생활시설,405.81
인천광역시 부평구 갈산동 114-4번지,공동주택,233.34
인천광역시 부평구 갈산동 114-6번지,제1종근린생활시설,244.385
인천광역시 부평구 갈산동 114-8번지,단독주택,3.6
