대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
인천광역시 부평구 부평동 10-1001번지,대성빌라,657.11,02000,공동주택,19911227.0
인천광역시 부평구 부평동 10-1002번지,대성타운,657.61,02000,공동주택,19911227.0
인천광역시 부평구 부평동 10-1003번지,대성빌라,657.61,02000,공동주택,19920929.0
인천광역시 부평구 부평동 10-1004번지,,488.1,03000,제1종근린생활시설,19911122.0
인천광역시 부평구 부평동 10-1007번지,,386.88,03000,제1종근린생활시설,19911122.0
인천광역시 부평구 부평동 10-101번지,,404.61,04000,제2종근린생활시설,19940913.0
인천광역시 부평구 부평동 10-1021번지,로얄하이츠,335.46,02000,공동주택,19920703.0
인천광역시 부평구 부평동 10-1036번지,,422.44,01000,단독주택,19930916.0
인천광역시 부평구 부평동 10-1044번지,,61.82,03000,제1종근린생활시설,19871124.0
인천광역시 부평구 부평동 10-1044번지,,1.2,03000,제1종근린생활시설,19871124.0
인천광역시 부평구 부평동 10-1046번지,,295.74,01000,단독주택,19990604.0
인천광역시 부평구 부평동 10-1059번지,중앙파크맨션,609.44,02000,공동주택,19960430.0
인천광역시 부평구 부평동 10-1060번지,,644.58,02000,공동주택,19960501.0
인천광역시 부평구 부평동 10-1072번지,,165.78,01000,단독주택,19970217.0
인천광역시 부평구 부평동 10-1074번지,,270.98,01000,단독주택,19951220.0
인천광역시 부평구 부평동 10-1105번지,부평마트,87.52,04000,제2종근린생활시설,20041215.0
인천광역시 부평구 부평동 10-1118번지,성지그린빌,389.43,02000,공동주택,20010504.0
인천광역시 부평구 부평동 10-1119번지,정도빌라,654.05,02000,공동주택,20010528.0
인천광역시 부평구 부평동 10-1140번지,혜인아이빌,616.92,02000,공동주택,20030624.0
인천광역시 부평구 부평동 10-114번지,,258.0,01000,단독주택,19890725.0
인천광역시 부평구 부평동 10-114번지,,1.0,01000,단독주택,19890725.0
인천광역시 부평구 부평동 10-1209번지,해바라기마을센터,490.99,03000,제1종근린생활시설,20190529.0
인천광역시 부평구 부평동 10-1210번지,,214.2,01000,단독주택,20181029.0
인천광역시 부평구 부평동 10-127번지,,98.84,03000,제1종근린생활시설,
인천광역시 부평구 부평동 10-129번지,,163.27,01000,단독주택,19950729.0
인천광역시 부평구 부평동 10-130번지,,170.54,01000,단독주택,19840201.0
인천광역시 부평구 부평동 10-130번지,,3.24,01000,단독주택,19840201.0
인천광역시 부평구 부평동 10-131번지,,206.82,01000,단독주택,19881212.0
인천광역시 부평구 부평동 10-138번지,환희빌리지,472.22,02000,공동주택,20030819.0
인천광역시 부평구 부평동 10-152번지,,1573.3,04000,제2종근린생활시설,19930423.0
인천광역시 부평구 부평동 10-161번지,,216.135,01000,단독주택,19970217.0
인천광역시 부평구 부평동 10-163번지,,45.29,01000,단독주택,
인천광역시 부평구 부평동 10-164번지,,1267.75,04000,제2종근린생활시설,19960619.0
인천광역시 부평구 부평동 10-165번지,환희빌리지,659.9,02000,공동주택,20030819.0
인천광역시 부평구 부평동 10-166번지,혜인아이빌,659.81,02000,공동주택,20030701.0
인천광역시 부평구 부평동 10-184번지,,273.32,04000,제2종근린생활시설,19890912.0
인천광역시 부평구 부평동 10-185번지,태원빌딩,732.01,04000,제2종근린생활시설,20021111.0
인천광역시 부평구 부평동 10-187번지,백인빌딩,884.3,04000,제2종근린생활시설,20100709.0
인천광역시 부평구 부평동 10-195번지,,174.45,01000,단독주택,19870907.0
인천광역시 부평구 부평동 10-217번지,,396.72,01000,단독주택,19940408.0
인천광역시 부평구 부평동 10-21번지,로얄하이츠빌라,333.49,02000,공동주택,19920703.0
인천광역시 부평구 부평동 10-221번지,,105.79,01000,단독주택,
인천광역시 부평구 부평동 10-222번지,,494.0,01000,단독주택,19920901.0
인천광역시 부평구 부평동 10-223번지,,78.0,04000,제2종근린생활시설,20000211.0
인천광역시 부평구 부평동 10-225번지,,42.98,01000,단독주택,
인천광역시 부평구 부평동 10-225번지,삼성빌라,324.96,02000,공동주택,19900403.0
인천광역시 부평구 부평동 10-226번지,,207.79,01000,단독주택,20100624.0
인천광역시 부평구 부평동 10-228번지,,518.52,02000,공동주택,19940908.0
인천광역시 부평구 부평동 10-22번지,,37.19,01000,단독주택,19740625.0
인천광역시 부평구 부평동 10-22번지,,245.19,01000,단독주택,19831005.0
인천광역시 부평구 부평동 10-22번지,,3.0,01000,단독주택,19831005.0
인천광역시 부평구 부평동 10-22번지,,37.02,01000,단독주택,19740625.0
인천광역시 부평구 부평동 10-230번지,,328.8,01000,단독주택,19931013.0
