intercept,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 연면적 비율,근린생활시설 연면적 비율,단독주택 연면적 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말 비율,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,점포밀도,(주거인구+직장인구)/유동인구,주거인구/직장인구,x,y,BAS_ID
123.3010157,15.03786203,-0.005242397,0.001896713,-98.91939696,-20.20492683,-0.013439482,-0.005988347,-0.005701505,5.650560227,-204.774252,0.113119097,0.430243128,0.221357528,0.53427266,-0.001840486,231.6684318,2.775667676,-364.1912083,0.750141415,19.6432413,-3.720634902,-25.25245586,8.635520324,-21.25395748,0.002787849,-13.79170118,18.9135894,6.91E-06,-0.000313249,11.50557749,-0.102950032,126.6891349,37.51870774,21300
111.2803992,16.46755497,0.001743567,0.00102464,-90.76462702,-18.93859374,0.01997943,-0.013841939,-0.006179185,6.030245562,-205.3783266,0.107148768,0.469873364,0.300298077,0.540974138,-0.00217612,238.4545943,-19.50860605,-344.1860002,4.680243952,28.25002531,3.222446698,-21.45269231,8.715444139,-22.88511141,0.00229561,-12.67771029,19.69330515,5.41E-06,-0.000333824,12.13623602,-0.105847885,126.6954588,37.52241686,21301
103.4965869,17.2582584,0.008574115,0.00024761,-99.00629856,-17.07210358,0.045627864,-0.018868864,-0.006442304,6.303982336,-201.8274716,0.104057572,0.49177519,0.348713749,0.54348422,-0.002271165,238.7577702,-32.59219731,-322.0814765,6.663830913,33.48757899,7.343546365,-19.14282299,8.727532277,-23.82607026,0.001927086,-11.79095755,20.06627892,5.27E-06,-0.000341454,12.20425756,-0.107041107,126.7013417,37.52233878,21302
110.4468443,15.36455105,0.002719816,0.000949377,-98.3081017,-17.71858284,0.006827227,-0.013081222,-0.006169668,6.013782367,-201.4396203,0.107351436,0.46574313,0.299056387,0.54056123,-0.002015934,231.9144319,-18.71095002,-326.1767958,3.870833661,27.37429377,3.016148143,-21.81381143,8.705681908,-22.70116515,0.002226198,-12.09461623,19.47162912,7.30E-06,-0.000329005,11.74552483,-0.10548825,126.6987298,37.51898141,21303
103.1960255,16.27081105,0.009409676,0.000192943,-107.5397827,-15.82137241,0.032624993,-0.01789145,-0.006421964,6.267087661,-198.3622416,0.104479216,0.486761986,0.34441353,0.542589628,-0.00211772,232.7773594,-30.99458375,-306.6558545,5.742490778,32.3440325,6.868489293,-19.63177092,8.716053567,-23.5998328,0.001888374,-11.32509428,19.84049334,7.01E-06,-0.000336415,11.84245014,-0.106630773,126.7034188,37.519319,21304
108.0446243,13.96202974,0.005160081,0.000722163,-109.6449387,-15.74071174,-0.007071079,-0.01272886,-0.006201528,6.036375389,-195.4546213,0.107065237,0.463884703,0.305421972,0.540524293,-0.001812011,223.0366312,-19.76147945,-297.3217121,3.121197758,27.07710119,3.471495313,-21.97281423,8.700056384,-22.62221951,0.0020725,-11.18880735,19.23760458,9.94E-06,-0.000323874,11.22432119,-0.105394419,126.7030042,37.5153291,21305
116.8558834,13.76480849,-0.001646812,0.001491723,-101.805891,-18.29319515,-0.02186872,-0.008079564,-0.005897678,5.790716146,-199.2852527,0.110601137,0.441408199,0.254506687,0.537458453,-0.001748068,224.8085291,-6.005047475,-327.6906616,1.377051183,22.11548134,-0.840624581,-24.13534096,8.675842415,-21.72938068,0.002468166,-12.39182041,18.89481425,9.21E-06,-0.000315249,11.19521267,-0.103957424,126.6972055,37.51567899,21306
127.0143935,12.65225292,-0.006742975,0.002143819,-109.6919998,-19.50499718,-0.044469672,-0.001562585,-0.005476135,5.495735706,-198.2592002,0.115595748,0.408703287,0.191284323,0.533565811,-0.001445338,218.5912908,12.47148282,-343.9313408,-1.670843236,15.40960713,-6.446920928,-27.20234416,8.615507412,-20.43342797,0.002830425,-13.6055653,18.40715993,1.06E-05,-0.000299217,10.62157148,-0.101764568,126.6930996,37.51252926,21307
129.5915322,11.32014144,-0.007834925,0.002313502,-113.922803,-19.46403696,-0.06168367,0.001168879,-0.005323286,5.414689039,-194.8076567,0.11683364,0.395708508,0.174028033,0.534040528,-0.001215195,211.5514535,18.3448419,-334.2829016,-2.805887712,13.2053062,-7.860208936,-28.36952188,8.619255104,-20.02757099,0.002864311,-13.66771548,18.15041482,1.27E-05,-0.000292566,10.11649289,-0.101490613,126.6946359,37.50972403,21308
115.2312759,11.08058079,-0.000567305,0.001431509,-110.6199453,-16.51343733,-0.0518647,-0.005970413,-0.005860892,5.781695659,-190.5731447,0.110556708,0.43257414,0.253951943,0.538338735,-0.00139166,210.5717563,-4.605673791,-287.0632062,0.062868675,20.64410648,-0.794800378,-24.96920326,8.690619138,-21.45992297,0.002310143,-11.22494101,18.42434993,1.35E-05,-0.000306119,10.32196101,-0.10406298,126.7025716,37.51088024,21309
