행 레이블,평균 : BAS_AR,평균 : 도로길이고려_전체통합도,평균 : 도로길이고려_국부통합도_R3,평균 : 기초구역평균_전체통합도,평균 : 기초구역평균_국부통합도_R3,평균 : 도로율,평균 : 평균 도로 길이,평균 : 아파트시세변화_차분평균,평균 : 평균최근접역거리,평균 : 평균최근접정류장거리,평균 : 건물노후도,평균 : 공동주택 연면적 비율,평균 : 근린생활시설 연면적 비율,평균 : 단독주택 연면적 비율,평균 : 아파트 가구수,평균 : 외식업매출월평균변화량,평균 : 서비스업매출월평균변화량,평균 : 소매업매출월평균변화량,평균 : 외식업매출비율,평균 : 서비스업매출비율,평균 : 소매업매출비율,평균 : 외식업종다양성,평균 : 서비스업종다양성,평균 : 소매업종다양성,평균 : 상가밀도,평균 : 주중 / 주말 비율,평균 : 06 to 18 / 18 to 06,평균 : 개별공시지가 변화 차분평균,평균 : 점포밀도,평균 : (주거인구+직장인구)/유동인구,평균 : 주거인구/직장인구
0,9.586451925,0.024571408,-0.0012112,-137.0909847,-16.40148893,0.068428589,-0.027635962,-0.006647557,6.499867879,-149.9501265,0.100157852,0.479833977,0.431728433,0.489390829,-0.001496832,213.1040222,-54.69574045,-261.9850481,11.97401124,45.02440373,18.75575427,-15.33931109,9.118539973,-26.36104412,0.001201536,-4.291719814,16.60535333,2.8516E-06,-0.000329607,9.166218758,-0.108544657
1,-5.156349833,-0.013019514,0.002724684,-127.2692091,-20.22148836,-0.073488328,0.002229319,-0.004184638,4.523401935,-91.801492,0.123410589,0.297586992,0.277745113,0.454260329,0.000743748,298.607191,1.855101418,-247.1176978,-5.239203532,19.6772601,0.871653538,-23.93690505,12.92356464,-23.63779259,0.001037176,-7.271133734,8.611148833,7.69585E-06,-0.000150691,2.370204262,-0.08310172
2,-11.94073154,-0.009366195,0.003060143,-196.632637,-17.85246572,-0.125283883,0.01809886,-0.002801205,6.337161309,-93.11041781,0.136842128,0.270868299,0.126608294,0.523446673,0.001477797,237.1069177,60.10113095,-187.0898163,-16.65063821,-2.938626343,-19.29803114,-30.50501138,11.53507746,-21.53403582,0.001658467,-15.34564472,12.28202163,2.70078E-05,-4.63243E-05,1.288734289,-0.086296005
3,-7.726759632,0.001857877,0.002499227,-280.4190156,-18.02898364,-0.087005929,0.026061189,-0.001717462,6.308305231,-116.080803,0.139637253,0.250359365,-0.010359628,0.529530431,0.001272255,207.4114711,107.9635735,-330.6519267,-13.80451707,-7.681610741,-28.18226658,-34.80201443,9.41243072,-19.58966157,0.003053343,-26.49879792,15.96401218,2.32256E-05,-8.08197E-05,0.980265158,-0.086978247
4,-10.76848292,0.00065487,0.001775438,-158.6669279,-14.40364277,-0.139212593,0.010404864,-0.004442635,5.583918436,-99.54429049,0.122919718,0.326083914,0.243603863,0.496885699,0.001158204,161.9474193,16.22257513,-73.65087536,-9.13781934,11.94617715,-2.78089402,-27.46897067,11.24318602,-23.08410426,0.001021252,-6.901125875,13.12757151,2.84907E-05,-0.000148004,3.654620739,-0.100976555
5,7.979294865,-0.004288847,0.001990648,-119.8277322,-17.69315813,-0.085953851,0.001423149,-0.005372595,5.602422608,-182.5587837,0.11406319,0.396599859,0.201941366,0.53692945,-0.000854009,196.8387874,12.77082828,-275.608106,-2.392805224,15.06483261,-4.708620174,-27.99205654,8.725184477,-20.61184398,0.00251379,-12.03486041,17.7576441,1.71935E-05,-0.000286103,9.095380008,-0.103710537
6,-0.54662224,0.013643219,4.01593E-05,-122.0144246,-20.01888973,0.006144485,-0.017967188,-0.005984562,5.065738766,-109.8439985,0.106026458,0.390596874,0.408329344,0.431734924,-0.000222396,199.9264815,-45.6274459,-237.7015831,11.32945696,43.66601088,20.58496392,-17.48376876,10.6915488,-26.63228566,0.00087265,-1.281856276,11.74300003,6.82949E-07,-0.000295822,5.787951869,-0.103346378
7,0.814917911,0.019582458,-0.000410312,-186.0477691,-8.853979145,-0.043011053,-0.00883126,-0.005911139,6.021318226,-128.6345609,0.110923457,0.42140661,0.321720748,0.497461694,-0.000184071,170.7686807,-18.62597326,-133.0443095,-0.66330574,26.42261122,6.758192201,-22.21545203,9.666874457,-24.13727736,0.00117869,-5.514262054,15.67869794,2.03041E-05,-0.000241649,6.52743386,-0.1063212
8,5.670748007,0.022164957,-0.000939777,-97.19684349,-26.32882385,0.088501345,-0.03262341,-0.006761976,6.265571566,-132.25898,0.096417174,0.460498324,0.478736183,0.44297011,-0.00147412,214.9884226,-71.99392654,-318.7960283,21.17215584,56.84875421,28.69732168,-12.74192178,9.255468296,-27.89720435,0.001131999,-0.693362606,14.20566636,-8.47894E-06,-0.000365134,8.382764857,-0.110180727
9,-5.50605331,-0.006681973,0.003014592,-194.9934705,-22.64587102,-0.134970766,0.023441525,-0.003142107,5.660735799,-139.8025369,0.129135491,0.284660178,0.05414651,0.535498911,0.000905722,173.2678421,72.5933065,-246.8111978,-9.283175612,-0.327650958,-17.99011544,-33.79777068,9.295794513,-20.07179872,0.002796429,-19.51949512,16.38595294,2.57111E-05,-0.000163008,3.926528963,-0.100740602
