intercept,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 연면적 비율,근린생활시설 연면적 비율,단독주택 연면적 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말 비율,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,점포밀도,(주거인구+직장인구)/유동인구,주거인구/직장인구,x,y,BAS_ID,open_11cluster
169.1776013,-20.76123081,0.01469609,0.002883913,-286.8282338,-26.70924696,0.158486318,0.032788482,-0.020908952,2.084207603,-164.4579098,0.121208458,0.377679898,0.180970883,0.646317833,-0.002490653,-1.66E-06,1.15E-06,-2.78E-07,7.934962449,9.468209562,-13.62144451,-2.521447143,7.400039706,-22.02449455,0.008813667,-21.74696233,12.65444797,2.87E-06,-0.00027944,8.755868279,-0.196982769,126.6891349,37.51870774,21300,5
169.3298255,-20.66026906,0.013847752,0.002792447,-285.1010345,-26.60374427,0.158264447,0.031725777,-0.021544255,2.243362588,-163.5455264,0.121724667,0.392935959,0.163264036,0.63491485,-0.002195616,-1.75E-06,1.02E-06,-2.36E-07,8.827187172,8.858878366,-13.16632494,-1.900668275,7.375762711,-22.04404681,0.008910699,-21.69162135,12.67604443,3.85E-06,-0.000312863,9.579043831,-0.156668564,126.6954588,37.52241686,21301,5
169.5463659,-20.11744585,0.012942542,0.002711734,-283.0808502,-26.42947533,0.142562364,0.033048074,-0.021061715,2.387250587,-160.2568224,0.12235827,0.411122127,0.071190018,0.590622516,-0.001918631,-1.83E-06,4.06E-07,-2.07E-07,9.074139579,8.634836615,-12.29322937,-1.742052737,7.21907988,-22.23967624,0.008050429,-21.58833605,12.78588744,6.43E-06,-0.000320118,9.93855385,-0.115238971,126.7013417,37.52233878,21302,5
169.3408074,-20.05756037,0.013057861,0.002742082,-285.4196997,-26.60273005,0.127826437,0.033537564,-0.019787165,2.299498234,-160.5931342,0.121882193,0.400423224,0.148992223,0.60152113,-0.002101455,-1.73E-06,3.28E-07,-2.31E-07,8.321996332,8.385182136,-12.85905134,-2.690147818,7.029562128,-22.4638414,0.007758055,-21.66749108,12.72916119,6.45E-06,-0.000317306,9.155356137,-0.131812049,126.6987298,37.51898141,21303,5
169.4957078,-19.63779942,0.012267187,0.00266575,-283.909583,-26.48106488,0.117568575,0.034595722,-0.018883644,2.363696655,-157.3240127,0.122298156,0.413599328,0.0451626,0.533507319,-0.001924895,-1.63E-06,2.31E-07,-2.05E-07,8.419022742,8.384757175,-12.12362968,-2.371239528,6.968161612,-22.5674013,0.006305818,-21.58811277,12.82021623,8.58E-06,-0.000317718,9.582154815,-0.113120461,126.7034188,37.519319,21304,5
169.2946756,-19.48833989,0.011984437,0.002657891,-286.0066211,-26.66116127,0.096801853,0.035157194,-0.016689005,2.296733715,-157.0237109,0.121809877,0.406086413,0.111046871,0.525429644,-0.002008293,-1.40E-06,2.16E-07,-2.21E-07,7.660800297,8.067055869,-12.68014554,-3.314384399,6.729117497,-22.83906247,0.004529097,-21.66328231,12.75895406,9.40E-06,-0.000316742,8.785475072,-0.119828278,126.7030042,37.5153291,21305,5
169.1783542,-19.9253802,0.012829575,0.002740665,-287.2531136,-26.74691225,0.107563546,0.034173115,-0.018552891,2.21945448,-160.3849106,0.12147284,0.393616176,0.194612289,0.607998204,-0.002191152,-1.55E-06,2.76E-07,-2.47E-07,7.612052022,8.239410486,-13.28252375,-3.600528918,6.797544894,-22.70795342,0.007107039,-21.72602484,12.68841189,7.12E-06,-0.000314125,8.587698368,-0.142269866,126.6972055,37.51567899,21306,5
169.0881382,-19.86897054,0.013239458,0.002795901,-288.3690587,-26.81415391,0.096454716,0.034865294,-0.018136573,2.1492485,-161.0699299,0.121168376,0.38301438,0.223618615,0.650776868,-0.002339107,-1.46E-06,3.15E-07,-2.79E-07,7.125735156,8.831427444,-13.72899754,-4.409163969,6.675119605,-22.76977784,0.007172289,-21.7590445,12.67454977,6.86E-06,-0.000297497,8.156752937,-0.162895888,126.6930996,37.51252926,21307,5
169.0689123,-19.29755777,0.012710822,0.002763064,-288.6159125,-26.84306985,0.06931271,0.036093081,-0.01614903,2.168488753,-158.842182,0.121113392,0.383110722,0.242319407,0.65011808,-0.00229229,-1.24E-06,2.76E-07,-2.83E-07,6.81514381,8.76012845,-13.8311744,-5.191251287,6.391921904,-23.03283544,0.005322171,-21.75289097,12.69548668,9.04E-06,-0.000295944,7.973347609,-0.152940202,126.6946359,37.50972403,21308,5
169.1111925,-19.14838331,0.011881097,0.002670194,-287.8162212,-26.82268809,0.075606871,0.036030999,-0.014664564,2.251809245,-156.7038886,0.121366016,0.396000627,0.231840557,0.553322949,-0.002115019,-1.22E-06,2.07E-07,-2.45E-07,6.991850853,8.055810276,-13.37513444,-4.339224325,6.473132112,-23.10037992,0.003408292,-21.73175672,12.70698244,1.05E-05,-0.000314364,8.073688561,-0.13520841,126.7025716,37.51088024,21309,5
169.7379723,-19.37659426,0.011654649,0.00259339,-281.3937127,-26.27434802,0.122016453,0.035155376,-0.017936739,2.386949212,-154.1167236,0.122963567,0.427849036,-0.064418166,0.475951414,-0.001807937,-1.66E-06,2.27E-07,-1.73E-07,8.960047242,8.749301136,-11.13137297,-1.51871705,7.072545718,-22.48440309,0.005720493,-21.47652298,12.94023668,9.77E-06,-0.000307005,10.93706539,-0.106084898,126.7080274,37.52140435,21310,5
169.5544756,-19.30852478,0.011641207,0.00260686,-283.3486333,-26.43554048,0.108358053,0.035519938,-0.017325741,2.346317192,-154.364704,0.122474449,0.419947182,-0.010480426,0.47596296,-0.001878179,-1.44E-06,2.20E-07,-1.90E-07,8.272265984,8.44284453,-11.66945366,-2.280197018,6.900403816,-22.68039518,0.004913785,-21.54808912,12.87984783,1.02E-05,-0.000305216,9.9498478,-0.109400771,126.7064514,37.51875081,21311,5
169.4350443,-19.13778175,0.011523826,0.002607275,-284.5435977,-26.54375936,0.096065092,0.036031396,-0.015769184,2.380799609,-153.9117525,0.122219486,0.415546278,0.052121976,0.468060536,-0.001896891,-1.31E-06,2.10E-07,-2.02E-07,7.826974419,8.28653535,-12.08271713,-2.894536709,6.754870614,-22.86075041,0.003801772,-21.59281074,12.8420828,1.09E-05,-0.000309348,9.313108027,-0.11250777,126.7069195,37.51509834,21312,5
169.2379333,-18.70042102,0.011492828,0.002625441,-286.4086006,-26.7173549,0.077383878,0.036935265,-0.013063249,2.3831334,-153.367224,0.121774425,0.405116482,0.257320713,0.485654696,-0.001998423,-1.14E-06,2.03E-07,-2.26E-07,7.176896378,8.212788662,-12.90265519,-3.905548154,6.506834328,-23.13768888,0.002382224,-21.66662326,12.78415579,1.22E-05,-0.000315563,8.194109356,-0.123631364,126.7065206,37.51059783,21313,5
169.7356039,-18.97563175,0.010344817,0.002468603,-281.4485404,-26.27983569,0.107567139,0.036214162,-0.008852697,2.103015209,-148.2879165,0.123101371,0.433351274,-0.133973294,0.380502985,-0.001929859,-1.35E-06,2.22E-07,-1.45E-07,8.548981027,8.627847803,-10.402177,-1.472270832,6.940120072,-22.71607862,0.003797999,-21.45004411,13.01539735,1.19E-05,-0.000248358,12.28295199,-0.10565374,126.7131926,37.5203754,21314,6
169.654227,-18.91837252,0.008579776,0.002297455,-282.1433838,-26.35396295,0.098527172,0.036248682,-4.58E-06,1.344487986,-142.1472636,0.123010449,0.435614314,-0.197603548,0.296763734,-0.002174592,-1.20E-06,2.24E-07,-1.05E-07,8.132316742,8.113019254,-9.680849807,-1.350291765,6.801207409,-22.94308861,0.002603351,-21.46431529,13.04439617,1.29E-05,-0.000174053,13.89028923,-0.105546458,126.7189188,37.52020717,21315,6
