,min,max,mean,std
intercept,150.31654351429677,151.57156592253818,150.84086806024973,0.3408182297378812
주거인구/직장인구,-8.900007693185604,-4.688221978661181,-7.477637277019354,0.9915088270658142
아파트 가구수,-50.836128259075736,-44.78260742723121,-47.64967341406374,1.807127964950702
단독주택 비율,-30.000419879808454,-17.110034665682026,-25.234469569081643,3.860099712152558
서비스업매출비율,-15.45363265162742,-9.918154216359655,-12.472013595470454,1.5987548448899547
외식업매출비율,16.085219426446244,20.17216215910614,17.905665075774706,1.1876306792645674
근린생활시설 비율,-25.51016232344031,-19.92616256742074,-22.87054303096855,1.4346909656398752
평균최근접역거리,-23.35081758398986,28.45067742944329,8.691629447325075,10.49631676820734
(주거인구+직장인구) / 유동인구,35.35704330059514,40.45809048110635,37.88631537700429,1.5633708074833488
공동주택 비율,-24.679136508236084,-21.790702506818285,-23.52245975417745,0.7389778129678949
평균 도로 길이,-40.40786271019425,-33.781346800050045,-36.717316825374986,1.7880049401617357
도로길이고려_전체통합도,24.56494115631184,37.653454215818215,28.97150517877712,3.556008603055181
평균최근접정류장거리,-46.806685907946445,-38.08070634849324,-42.353271719123406,2.080484531868573
점포밀도,-50.18573247695495,-44.89368920035457,-47.31243662000114,1.4924312188624829
도로율,-61.082530001986456,-58.634670481849554,-60.16615690871028,0.5812112886922189
상가밀도,21.791741362801105,25.229905804706064,23.11185004233892,1.1076166021965288
